DATE,LFPR
2/1/1998,74.8
3/1/1998,74.8
4/1/1998,74.8
5/1/1998,74.9
6/1/1998,74.9
7/1/1998,75
8/1/1998,74.6
9/1/1998,75
10/1/1998,74.9
11/1/1998,75
12/1/1998,74.9
1/1/1999,75
2/1/1999,74.9
3/1/1999,74.7
4/1/1999,74.6
5/1/1999,74.8
6/1/1999,74.7
7/1/1999,74.7
8/1/1999,74.6
9/1/1999,74.6
10/1/1999,74.6
11/1/1999,74.6
12/1/1999,74.8
1/1/2000,75.1
2/1/2000,75.3
3/1/2000,75
4/1/2000,74.9
5/1/2000,74.8
6/1/2000,74.8
7/1/2000,74.5
8/1/2000,74.8
9/1/2000,74.6
10/1/2000,74.5
11/1/2000,74.6
12/1/2000,74.7
1/1/2001,75
2/1/2001,74.8
3/1/2001,74.7
4/1/2001,74.6
5/1/2001,74.4
6/1/2001,74.3
7/1/2001,74.4
8/1/2001,74.1
9/1/2001,74.5
10/1/2001,74.4
11/1/2001,74.3
12/1/2001,74.3
1/1/2002,74
2/1/2002,74.2
3/1/2002,74.1
4/1/2002,74.2
5/1/2002,74.5
6/1/2002,74.2
7/1/2002,74.1
8/1/2002,74.1
9/1/2002,74.4
10/1/2002,74
11/1/2002,73.7
12/1/2002,73.6
1/1/2003,73.5
2/1/2003,73.7
3/1/2003,73.3
4/1/2003,73.6
5/1/2003,73.6
6/1/2003,73.6
7/1/2003,73.4
8/1/2003,73.3
9/1/2003,73.6
10/1/2003,73.4
11/1/2003,73.6
12/1/2003,73.5
1/1/2004,73.7
2/1/2004,73.2
3/1/2004,73.2
4/1/2004,73.1
5/1/2004,73.1
6/1/2004,73.3
7/1/2004,73.5
8/1/2004,73.4
9/1/2004,73.2
10/1/2004,73.3
11/1/2004,73.5
12/1/2004,73.2
1/1/2005,73
2/1/2005,73.2
3/1/2005,73.2
4/1/2005,73.4
5/1/2005,73.5
6/1/2005,73.4
7/1/2005,73.4
8/1/2005,73.5
9/1/2005,73.3
10/1/2005,73.2
11/1/2005,73.2
12/1/2005,73.2
1/1/2006,73.4
2/1/2006,73.5
3/1/2006,73.6
4/1/2006,73.5
5/1/2006,73.5
6/1/2006,73.4
7/1/2006,73.1
8/1/2006,73.4
9/1/2006,73.4
10/1/2006,73.4
11/1/2006,73.5
12/1/2006,73.7
1/1/2007,73.8
2/1/2007,73.6
3/1/2007,73.5
4/1/2007,73.4
5/1/2007,73.2
6/1/2007,73.3
7/1/2007,73.1
8/1/2007,72.8
9/1/2007,73
10/1/2007,72.9
11/1/2007,73.1
12/1/2007,73.1
1/1/2008,73.4
2/1/2008,73.1
3/1/2008,73.1
4/1/2008,72.9
5/1/2008,73.1
6/1/2008,73
7/1/2008,73.1
8/1/2008,72.9
9/1/2008,72.9
10/1/2008,72.9
11/1/2008,72.7
12/1/2008,72.5
1/1/2009,72.4
2/1/2009,72.4
3/1/2009,72.1
4/1/2009,72.3
5/1/2009,72.4
6/1/2009,72.2
7/1/2009,72
8/1/2009,72
9/1/2009,71.7
10/1/2009,71.6
11/1/2009,71.5
12/1/2009,71
1/1/2010,71.2
2/1/2010,71.2
3/1/2010,71.4
4/1/2010,71.8
5/1/2010,71.4
6/1/2010,71.1
7/1/2010,71.2
8/1/2010,71.3
9/1/2010,71.1
10/1/2010,70.8
11/1/2010,70.9
12/1/2010,70.7
1/1/2011,70.5
2/1/2011,70.5
3/1/2011,70.4
4/1/2011,70.5
5/1/2011,70.5
6/1/2011,70.4
7/1/2011,70.3
8/1/2011,70.5
9/1/2011,70.5
10/1/2011,70.4
11/1/2011,70.5
12/1/2011,70.5
1/1/2012,70.2
2/1/2012,70.2
3/1/2012,70.2
4/1/2012,70.1
5/1/2012,70.2
6/1/2012,70.3
7/1/2012,70.2
8/1/2012,69.9
9/1/2012,70.1
10/1/2012,70.3
